--UPenn beam model (double gaussian)--
# baseData fitted to mcSquare simulation using BDL_matrad.txt
# created by Paul Anton Meder on 10-Dec-2019

Nozzle exit to Isocenter distance
420.0

SMX to Isocenter distance
2028.5

SMY to Isocenter distance
2028.5

Beam parameters
88 energies

NominalEnergy	MeanEnergy	EnergySpread	ProtonsMU	Weight1	SpotSize1x	Divergence1x	Correlation1x	SpotSize1y	Divergence1y	Correlation1y	Weight2	SpotSize2x	Divergence2x	Correlation2x	SpotSize2y	Divergence2y	Correlation2y	FWHMatIso	
125.23 	125.927 	0.890407 	1e+06 	1 	4.73823 	0.00407174 	0.473271 	4.73823 	0.00407174 	0.473271 	0 	0 	0 	0 	0 	0 	0 	13.5377 	
127.011 	127.674 	0.885654 	1e+06 	1 	4.70791 	0.00402734 	0.466558 	4.70791 	0.00402734 	0.466558 	0 	0 	0 	0 	0 	0 	0 	13.4165 	
128.793 	129.423 	0.880593 	1e+06 	1 	4.67341 	0.00398365 	0.461017 	4.67341 	0.00398365 	0.461017 	0 	0 	0 	0 	0 	0 	0 	13.2906 	
130.575 	131.183 	0.87959 	1e+06 	1 	4.63808 	0.00393206 	0.457903 	4.63808 	0.00393206 	0.457903 	0 	0 	0 	0 	0 	0 	0 	13.1656 	
132.356 	132.965 	0.877954 	1e+06 	1 	4.59155 	0.00386778 	0.462111 	4.59155 	0.00386778 	0.462111 	0 	0 	0 	0 	0 	0 	0 	13.0304 	
134.138 	134.749 	0.879539 	1e+06 	1 	4.54493 	0.00380325 	0.466405 	4.54493 	0.00380325 	0.466405 	0 	0 	0 	0 	0 	0 	0 	12.8946 	
135.92 	136.528 	0.877754 	1e+06 	1 	4.50326 	0.00373921 	0.470098 	4.50326 	0.00373921 	0.470098 	0 	0 	0 	0 	0 	0 	0 	12.7681 	
137.701 	138.309 	0.879233 	1e+06 	1 	4.46015 	0.00367421 	0.473907 	4.46015 	0.00367421 	0.473907 	0 	0 	0 	0 	0 	0 	0 	12.6378 	
139.483 	140.091 	0.87778 	1e+06 	1 	4.42043 	0.00360933 	0.477353 	4.42043 	0.00360933 	0.477353 	0 	0 	0 	0 	0 	0 	0 	12.5138 	
141.264 	141.854 	0.876124 	1e+06 	1 	4.37951 	0.00357117 	0.476202 	4.37951 	0.00357117 	0.476202 	0 	0 	0 	0 	0 	0 	0 	12.3914 	
143.046 	143.61 	0.873393 	1e+06 	1 	4.34752 	0.00354367 	0.472087 	4.34752 	0.00354367 	0.472087 	0 	0 	0 	0 	0 	0 	0 	12.2879 	
144.828 	145.367 	0.870292 	1e+06 	1 	4.31638 	0.00351568 	0.467786 	4.31638 	0.00351568 	0.467786 	0 	0 	0 	0 	0 	0 	0 	12.1857 	
146.609 	147.124 	0.86746 	1e+06 	1 	4.28016 	0.0034882 	0.464136 	4.28016 	0.0034882 	0.464136 	0 	0 	0 	0 	0 	0 	0 	12.0743 	
148.391 	148.881 	0.866048 	1e+06 	1 	4.24364 	0.00346048 	0.460473 	4.24364 	0.00346048 	0.460473 	0 	0 	0 	0 	0 	0 	0 	11.9622 	
150.172 	150.64 	0.862493 	1e+06 	1 	4.21401 	0.0034292 	0.456278 	4.21401 	0.0034292 	0.456278 	0 	0 	0 	0 	0 	0 	0 	11.862 	
151.954 	152.441 	0.861943 	1e+06 	1 	4.18843 	0.00336558 	0.45382 	4.18843 	0.00336558 	0.45382 	0 	0 	0 	0 	0 	0 	0 	11.7549 	
153.736 	154.243 	0.859285 	1e+06 	1 	4.16633 	0.00330036 	0.450715 	4.16633 	0.00330036 	0.450715 	0 	0 	0 	0 	0 	0 	0 	11.6532 	
155.517 	156.043 	0.855175 	1e+06 	1 	4.14445 	0.0032358 	0.447715 	4.14445 	0.0032358 	0.447715 	0 	0 	0 	0 	0 	0 	0 	11.5532 	
157.299 	157.844 	0.852035 	1e+06 	1 	4.12145 	0.00317153 	0.444893 	4.12145 	0.00317153 	0.444893 	0 	0 	0 	0 	0 	0 	0 	11.4516 	
159.08 	159.644 	0.849784 	1e+06 	1 	4.09448 	0.00310707 	0.442465 	4.09448 	0.00310707 	0.442465 	0 	0 	0 	0 	0 	0 	0 	11.3422 	
160.862 	161.431 	0.846862 	1e+06 	1 	4.07215 	0.00304163 	0.443622 	4.07215 	0.00304163 	0.443622 	0 	0 	0 	0 	0 	0 	0 	11.2523 	
162.644 	163.195 	0.842658 	1e+06 	1 	4.04962 	0.00297514 	0.449156 	4.04962 	0.00297514 	0.449156 	0 	0 	0 	0 	0 	0 	0 	11.1724 	
164.425 	164.96 	0.83606 	1e+06 	1 	4.02193 	0.00290923 	0.455383 	4.02193 	0.00290923 	0.455383 	0 	0 	0 	0 	0 	0 	0 	11.0822 	
166.207 	166.72 	0.830393 	1e+06 	1 	3.99691 	0.00284323 	0.461305 	3.99691 	0.00284323 	0.461305 	0 	0 	0 	0 	0 	0 	0 	10.9968 	
167.989 	168.486 	0.828508 	1e+06 	1 	3.97598 	0.00277611 	0.466542 	3.97598 	0.00277611 	0.466542 	0 	0 	0 	0 	0 	0 	0 	10.918 	
169.77 	170.249 	0.825112 	1e+06 	1 	3.95179 	0.00270975 	0.472319 	3.95179 	0.00270975 	0.472319 	0 	0 	0 	0 	0 	0 	0 	10.8331 	
171.552 	172.042 	0.820855 	1e+06 	1 	3.93105 	0.00250607 	0.536638 	3.93105 	0.00250607 	0.536638 	0 	0 	0 	0 	0 	0 	0 	10.7924 	
173.333 	173.841 	0.816912 	1e+06 	1 	3.91083 	0.0022814 	0.609819 	3.91083 	0.0022814 	0.609819 	0 	0 	0 	0 	0 	0 	0 	10.7361 	
175.115 	175.637 	0.813616 	1e+06 	1 	3.89247 	0.00205662 	0.683183 	3.89247 	0.00205662 	0.683183 	0 	0 	0 	0 	0 	0 	0 	10.6605 	
176.897 	177.432 	0.811451 	1e+06 	1 	3.86831 	0.00183185 	0.758473 	3.86831 	0.00183185 	0.758473 	0 	0 	0 	0 	0 	0 	0 	10.5504 	
178.678 	179.233 	0.807649 	1e+06 	1 	3.84937 	0.00160604 	0.833557 	3.84937 	0.00160604 	0.833557 	0 	0 	0 	0 	0 	0 	0 	10.4264 	
180.46 	181.015 	0.803622 	1e+06 	1 	3.82969 	0.00148769 	0.866139 	3.82969 	0.00148769 	0.866139 	0 	0 	0 	0 	0 	0 	0 	10.3197 	
182.241 	182.761 	0.794367 	1e+06 	1 	3.81211 	0.001639 	0.802705 	3.81211 	0.001639 	0.802705 	0 	0 	0 	0 	0 	0 	0 	10.3242 	
184.023 	184.511 	0.787467 	1e+06 	1 	3.79442 	0.00179803 	0.734278 	3.79442 	0.00179803 	0.734278 	0 	0 	0 	0 	0 	0 	0 	10.3126 	
185.805 	186.263 	0.782162 	1e+06 	1 	3.77586 	0.00195666 	0.666721 	3.77586 	0.00195666 	0.666721 	0 	0 	0 	0 	0 	0 	0 	10.2841 	
187.586 	188.011 	0.773226 	1e+06 	1 	3.75842 	0.00211487 	0.599434 	3.75842 	0.00211487 	0.599434 	0 	0 	0 	0 	0 	0 	0 	10.2428 	
189.368 	189.758 	0.767551 	1e+06 	1 	3.73761 	0.0022735 	0.533239 	3.73761 	0.0022735 	0.533239 	0 	0 	0 	0 	0 	0 	0 	10.1805 	
191.149 	191.535 	0.759678 	1e+06 	1 	3.7155 	0.00234533 	0.506614 	3.7155 	0.00234533 	0.506614 	0 	0 	0 	0 	0 	0 	0 	10.1247 	
192.931 	193.328 	0.751938 	1e+06 	1 	3.68592 	0.00237072 	0.502963 	3.68592 	0.00237072 	0.502963 	0 	0 	0 	0 	0 	0 	0 	10.0659 	
194.713 	195.121 	0.746114 	1e+06 	1 	3.66269 	0.00239543 	0.498279 	3.66269 	0.00239543 	0.498279 	0 	0 	0 	0 	0 	0 	0 	10.0191 	
196.494 	196.913 	0.737815 	1e+06 	1 	3.63553 	0.00242036 	0.494237 	3.63553 	0.00242036 	0.494237 	0 	0 	0 	0 	0 	0 	0 	9.96462 	
198.276 	198.703 	0.730527 	1e+06 	1 	3.60522 	0.00244562 	0.490745 	3.60522 	0.00244562 	0.490745 	0 	0 	0 	0 	0 	0 	0 	9.90424 	
200.057 	200.498 	0.725084 	1e+06 	1 	3.57886 	0.00246996 	0.487134 	3.57886 	0.00246996 	0.487134 	0 	0 	0 	0 	0 	0 	0 	9.85211 	
201.839 	202.276 	0.712172 	1e+06 	1 	3.54653 	0.00246176 	0.495627 	3.54653 	0.00246176 	0.495627 	0 	0 	0 	0 	0 	0 	0 	9.79005 	
203.621 	204.06 	0.702616 	1e+06 	1 	3.51291 	0.00245382 	0.504359 	3.51291 	0.00245382 	0.504359 	0 	0 	0 	0 	0 	0 	0 	9.72551 	
205.402 	205.838 	0.691246 	1e+06 	1 	3.47942 	0.00244582 	0.513056 	3.47942 	0.00244582 	0.513056 	0 	0 	0 	0 	0 	0 	0 	9.66101 	
207.184 	207.617 	0.681831 	1e+06 	1 	3.44726 	0.00243752 	0.521464 	3.44726 	0.00243752 	0.521464 	0 	0 	0 	0 	0 	0 	0 	9.59856 	
208.966 	209.397 	0.670564 	1e+06 	1 	3.41121 	0.00242971 	0.530603 	3.41121 	0.00242971 	0.530603 	0 	0 	0 	0 	0 	0 	0 	9.52883 	
210.747 	211.184 	0.659684 	1e+06 	1 	3.37622 	0.00239912 	0.540626 	3.37622 	0.00239912 	0.540626 	0 	0 	0 	0 	0 	0 	0 	9.44721 	
212.529 	212.973 	0.645741 	1e+06 	1 	3.34838 	0.00233615 	0.550719 	3.34838 	0.00233615 	0.550719 	0 	0 	0 	0 	0 	0 	0 	9.35887 	
214.31 	214.765 	0.63331 	1e+06 	1 	3.31683 	0.00227322 	0.561415 	3.31683 	0.00227322 	0.561415 	0 	0 	0 	0 	0 	0 	0 	9.26227 	
216.092 	216.558 	0.618638 	1e+06 	1 	3.28541 	0.00221103 	0.572281 	3.28541 	0.00221103 	0.572281 	0 	0 	0 	0 	0 	0 	0 	9.16584 	
217.874 	218.354 	0.606185 	1e+06 	1 	3.25433 	0.00214814 	0.582959 	3.25433 	0.00214814 	0.582959 	0 	0 	0 	0 	0 	0 	0 	9.0684 	
219.655 	220.156 	0.595033 	1e+06 	1 	3.2204 	0.00208589 	0.594336 	3.2204 	0.00208589 	0.594336 	0 	0 	0 	0 	0 	0 	0 	8.96512 	
221.437 	221.947 	0.58197 	1e+06 	1 	3.19704 	0.00205551 	0.614293 	3.19704 	0.00205551 	0.614293 	0 	0 	0 	0 	0 	0 	0 	8.92335 	
223.218 	223.743 	0.567979 	1e+06 	1 	3.17255 	0.00203325 	0.637217 	3.17255 	0.00203325 	0.637217 	0 	0 	0 	0 	0 	0 	0 	8.88903 	
225 	225.55 	0.55427 	1e+06 	1 	3.14978 	0.00201008 	0.659496 	3.14978 	0.00201008 	0.659496 	0 	0 	0 	0 	0 	0 	0 	8.85595 	
